# libultrahdr gamut-conversion matrices
# columns: conv, r_in, g_in, b_in, r_out, g_out, b_out
# conv values: bt709_to_p3, bt709_to_bt2100, p3_to_bt709,
#              p3_to_bt2100, bt2100_to_bt709, bt2100_to_p3
# reference: lib/src/gainmapmath.cpp:609-633 @ libultrahdr commit 8cbc983
conv,r_in,g_in,b_in,r_out,g_out,b_out
bt2100_to_bt709,0.180000007,0.180000007,0.180000007,0.180000007,0.179999992,0.180000007
bt2100_to_p3,0.180000007,0.180000007,0.180000007,0.180000007,0.180000022,0.180000201
bt709_to_p3,0.25,0.25,0.25,0.25,0.249999985,0.250000238
bt709_to_bt2100,0.25,0.25,0.25,0.249999985,0.25,0.25
p3_to_bt709,0.25,0.25,0.25,0.249999985,0.25,0.25
p3_to_bt2100,0.25,0.25,0.25,0.25,0.25,0.249999747
bt2100_to_bt709,0.25,0.25,0.25,0.25,0.249999985,0.249999985
bt2100_to_p3,0.25,0.25,0.25,0.25,0.25,0.250000268
bt709_to_p3,0.5,0.5,0.5,0.5,0.49999997,0.500000477
bt709_to_bt2100,0.5,0.5,0.5,0.49999997,0.5,0.5
p3_to_bt709,0.5,0.5,0.5,0.49999997,0.5,0.5
p3_to_bt2100,0.5,0.5,0.5,0.5,0.5,0.499999493
bt2100_to_bt709,0.5,0.5,0.5,0.5,0.49999997,0.49999997
bt2100_to_p3,0.5,0.5,0.5,0.5,0.5,0.500000536
bt709_to_p3,0.75,0.75,0.75,0.75000006,0.75,0.750000715
bt709_to_bt2100,0.75,0.75,0.75,0.74999994,0.75,0.75
p3_to_bt709,0.75,0.75,0.75,0.75,0.75,0.75
p3_to_bt2100,0.75,0.75,0.75,0.74999994,0.75,0.749999285
bt2100_to_bt709,0.75,0.75,0.75,0.75,0.75,0.74999994
bt2100_to_p3,0.75,0.75,0.75,0.75,0.75,0.750000775
bt709_to_p3,1,1,1,1,0.99999994,1.00000095
bt709_to_bt2100,1,1,1,0.99999994,1,1
p3_to_bt709,1,1,1,0.99999994,1,1
p3_to_bt2100,1,1,1,1,1,0.999998987
bt2100_to_bt709,1,1,1,1,0.99999994,0.99999994
bt2100_to_p3,1,1,1,1,1,1.00000107
bt709_to_p3,1.5,1.5,1.5,1.50000012,1.5,1.50000143
bt709_to_bt2100,1.5,1.5,1.5,1.49999988,1.5,1.5
p3_to_bt709,1.5,1.5,1.5,1.5,1.5,1.5
p3_to_bt2100,1.5,1.5,1.5,1.49999988,1.5,1.49999857
bt2100_to_bt709,1.5,1.5,1.5,1.5,1.5,1.49999988
bt2100_to_p3,1.5,1.5,1.5,1.5,1.5,1.50000155
bt709_to_p3,2,2,2,2,1.99999988,2.00000191
bt709_to_bt2100,2,2,2,1.99999988,2,2
p3_to_bt709,2,2,2,1.99999988,2,2
p3_to_bt2100,2,2,2,2,2,1.99999797
bt2100_to_bt709,2,2,2,2,1.99999988,1.99999988
bt2100_to_p3,2,2,2,2,2,2.00000215
bt709_to_p3,4,4,4,4,3.99999976,4.00000381
bt709_to_bt2100,4,4,4,3.99999976,4,4
p3_to_bt709,4,4,4,3.99999976,4,4
p3_to_bt2100,4,4,4,4,4,3.99999595
bt2100_to_bt709,4,4,4,4,3.99999976,3.99999976
bt2100_to_p3,4,4,4,4,4,4.00000429
bt709_to_p3,0,0,0,0,0,0
bt709_to_bt2100,0,0,0,0,0,0
p3_to_bt709,0,0,0,0,0,0
p3_to_bt2100,0,0,0,0,0,0
bt2100_to_bt709,0,0,0,0,0,0
bt2100_to_p3,0,0,0,0,0,0
bt709_to_p3,0,0,0,0,0,0
bt709_to_bt2100,0,0,0,0,0,0
p3_to_bt709,0,0,0,0,0,0
p3_to_bt2100,0,0,0,0,0,0
bt2100_to_bt709,0,0,0,0,0,0
bt2100_to_p3,0,0,0,0,0,0
bt709_to_p3,0,0,0,0,0,0
bt709_to_bt2100,0,0,0,0,0,0
p3_to_bt709,0,0,0,0,0,0
p3_to_bt2100,0,0,0,0,0,0
bt2100_to_bt709,0,0,0,0,0,0
bt2100_to_p3,0,0,0,0,0,0
bt709_to_p3,0.00100000005,0,0,0.000822462083,3.31940028e-05,1.70830008e-05
bt709_to_bt2100,0.00100000005,0,0,0.000627404021,6.90969973e-05,1.63920013e-05
p3_to_bt709,0.00100000005,0,0,0.00122493994,-4.20570032e-05,-1.96380006e-05
p3_to_bt2100,0.00100000005,0,0,0.000753833039,4.57440001e-05,-1.21000005e-06
bt2100_to_bt709,0.00100000005,0,0,0.00166049111,-0.000124551007,-1.81510004e-05
bt2100_to_p3,0.00100000005,0,0,0.0013435781,-6.52980016e-05,2.82200017e-06
bt709_to_p3,0,0.00100000005,0,0.000177537004,0.000966807071,7.23980047e-05
bt709_to_bt2100,0,0.00100000005,0,0.000329281989,0.000919541053,8.80130028e-05
p3_to_bt709,0,0.00100000005,0,-0.000224940013,0.00104205706,-7.86360033e-05
p3_to_bt2100,0,0.00100000005,0,0.000198597016,0.00094177702,1.76010017e-05
bt2100_to_bt709,0,0.00100000005,0,-0.000587641029,0.00113290001,-0.000100579004
bt2100_to_p3,0,0.00100000005,0,-0.000282179011,0.00107578805,-1.9598001e-05
bt709_to_p3,0,0,0.00100000005,1.00000008e-09,-1.00000008e-09,0.000910520088
bt709_to_bt2100,0,0,0.00100000005,4.33140012e-05,1.13620008e-05,0.000895595062
p3_to_bt709,0,0,0.00100000005,0,0,0.00109827402
p3_to_bt2100,0,0,0.00100000005,4.75700035e-05,1.24790004e-05,0.000983608072
bt2100_to_bt709,0,0,0.00100000005,-7.28500017e-05,-8.34900038e-06,0.00111873006
bt2100_to_p3,0,0,0.00100000005,-6.13990051e-05,-1.04900009e-05,0.00101677713
bt709_to_p3,0.00999999978,0,0,0.00822462048,0.000331940013,0.000170829997
bt709_to_bt2100,0.00999999978,0,0,0.00627403939,0.00069096993,0.000163919991
p3_to_bt709,0.00999999978,0,0,0.012249399,-0.000420569995,-0.000196380002
p3_to_bt2100,0.00999999978,0,0,0.00753832981,0.000457439979,-1.21000003e-05
bt2100_to_bt709,0.00999999978,0,0,0.0166049097,-0.00124550995,-0.000181509997
bt2100_to_p3,0.00999999978,0,0,0.0134357791,-0.000652979943,2.82199999e-05
bt709_to_p3,0,0.00999999978,0,0.00177536986,0.00966806989,0.00072397996
bt709_to_bt2100,0,0.00999999978,0,0.00329281972,0.00919540972,0.000880129985
p3_to_bt709,0,0.00999999978,0,-0.0022493999,0.0104205702,-0.000786359946
p3_to_bt2100,0,0.00999999978,0,0.00198596995,0.0094177695,0.000176009999
bt2100_to_bt709,0,0.00999999978,0,-0.00587640982,0.0113289999,-0.00100578996
bt2100_to_p3,0,0.00999999978,0,-0.00282178982,0.0107578803,-0.000195979999
bt709_to_p3,0,0,0.00999999978,9.99999994e-09,-9.99999994e-09,0.00910519995
bt709_to_bt2100,0,0,0.00999999978,0.000433139969,0.000113620001,0.00895594992
p3_to_bt709,0,0,0.00999999978,0,0,0.0109827397
p3_to_bt2100,0,0,0.00999999978,0.000475700013,0.000124789993,0.00983607955
bt2100_to_bt709,0,0,0.00999999978,-0.000728499959,-8.34899911e-05,0.0111872992
bt2100_to_p3,0,0,0.00999999978,-0.000613990007,-0.000104899998,0.0101677701
bt709_to_p3,0.0500000007,0,0,0.0411231034,0.00165970006,0.000854150043
bt709_to_bt2100,0.0500000007,0,0,0.0313702002,0.00345484982,0.000819600013
p3_to_bt709,0.0500000007,0,0,0.0612469986,-0.00210285001,-0.000981900026
p3_to_bt2100,0.0500000007,0,0,0.037691649,0.00228719995,-6.05000023e-05
bt2100_to_bt709,0.0500000007,0,0,0.083024554,-0.0062275501,-0.000907550042
bt2100_to_p3,0.0500000007,0,0,0.0671788976,-0.00326490006,0.000141100012
bt709_to_p3,0,0.0500000007,0,0.0088768499,0.0483403504,0.00361989997
bt709_to_bt2100,0,0.0500000007,0,0.0164640993,0.0459770523,0.00440065004
p3_to_bt709,0,0.0500000007,0,-0.0112470007,0.0521028526,-0.0039317999
p3_to_bt2100,0,0.0500000007,0,0.00992984977,0.0470888503,0.000880050007
bt2100_to_bt709,0,0.0500000007,0,-0.02938205,0.0566450022,-0.00502895005
bt2100_to_p3,0,0.0500000007,0,-0.0141089503,0.0537894033,-0.000979900011
bt709_to_p3,0,0,0.0500000007,5.00000006e-08,-5.00000006e-08,0.0455260016
bt709_to_bt2100,0,0,0.0500000007,0.00216570008,0.000568100018,0.0447797514
p3_to_bt709,0,0,0.0500000007,0,0,0.0549136996
p3_to_bt2100,0,0,0.0500000007,0.00237850007,0.000623949978,0.0491803996
bt2100_to_bt709,0,0,0.0500000007,-0.00364249991,-0.000417449977,0.0559364967
bt2100_to_p3,0,0,0.0500000007,-0.00306995003,-0.000524500036,0.0508388542
bt709_to_p3,0.100000001,0,0,0.0822462067,0.00331940013,0.00170830009
bt709_to_bt2100,0.100000001,0,0,0.0627404004,0.00690969964,0.00163920003
p3_to_bt709,0.100000001,0,0,0.122493997,-0.00420570001,-0.00196380005
p3_to_bt2100,0.100000001,0,0,0.0753832981,0.00457439991,-0.000121000005
bt2100_to_bt709,0.100000001,0,0,0.166049108,-0.0124551002,-0.00181510008
bt2100_to_p3,0.100000001,0,0,0.134357795,-0.00652980013,0.000282200024
bt709_to_p3,0,0.100000001,0,0.0177536998,0.0966807008,0.00723979995
bt709_to_bt2100,0,0.100000001,0,0.0329281986,0.0919541046,0.00880130008
p3_to_bt709,0,0.100000001,0,-0.0224940013,0.104205705,-0.00786359981
p3_to_bt2100,0,0.100000001,0,0.0198596995,0.0941777006,0.00176010001
bt2100_to_bt709,0,0.100000001,0,-0.0587641001,0.113290004,-0.0100579001
bt2100_to_p3,0,0.100000001,0,-0.0282179005,0.107578807,-0.00195980002
bt709_to_p3,0,0,0.100000001,1.00000001e-07,-1.00000001e-07,0.0910520032
bt709_to_bt2100,0,0,0.100000001,0.00433140015,0.00113620004,0.0895595029
p3_to_bt709,0,0,0.100000001,0,0,0.109827399
p3_to_bt2100,0,0,0.100000001,0.00475700013,0.00124789996,0.0983607993
bt2100_to_bt709,0,0,0.100000001,-0.00728499983,-0.000834899954,0.111872993
bt2100_to_p3,0,0,0.100000001,-0.00613990007,-0.00104900007,0.101677708
bt709_to_p3,0.180000007,0,0,0.148043171,0.00597492047,0.00307494029
bt709_to_bt2100,0.180000007,0,0,0.112932719,0.01243746,0.00295056007
p3_to_bt709,0.180000007,0,0,0.220489204,-0.0075702602,-0.00353484019
p3_to_bt2100,0.180000007,0,0,0.135689944,0.00823391974,-0.000217800014
bt2100_to_bt709,0.180000007,0,0,0.298888385,-0.0224191807,-0.00326718017
bt2100_to_p3,0.180000007,0,0,0.241844043,-0.0117536401,0.000507960038
bt709_to_p3,0,0.180000007,0,0.0319566615,0.174025267,0.0130316401
bt709_to_bt2100,0,0.180000007,0,0.0592707582,0.16551739,0.0158423409
p3_to_bt709,0,0.180000007,0,-0.0404892005,0.187570274,-0.0141544798
p3_to_bt2100,0,0.180000007,0,0.035747461,0.169519871,0.00316818012
bt2100_to_bt709,0,0.180000007,0,-0.105775386,0.203922004,-0.0181042217
bt2100_to_p3,0,0.180000007,0,-0.050792221,0.193641856,-0.00352764013
bt709_to_p3,0,0,0.180000007,1.80000001e-07,-1.80000001e-07,0.16389361
bt709_to_bt2100,0,0,0.180000007,0.0077965199,0.00204516016,0.16120711
p3_to_bt709,0,0,0.180000007,0,0,0.197689325
p3_to_bt2100,0,0,0.180000007,0.00856260024,0.00224622013,0.177049443
bt2100_to_bt709,0,0,0.180000007,-0.0131129995,-0.00150281994,0.201371402
bt2100_to_p3,0,0,0.180000007,-0.0110518206,-0.00188820018,0.183019876
bt709_to_p3,0.25,0,0,0.205615506,0.00829850044,0.0042707501
bt709_to_bt2100,0.25,0,0,0.156850994,0.0172742493,0.004098
p3_to_bt709,0.25,0,0,0.306234986,-0.01051425,-0.00490950001
p3_to_bt2100,0.25,0,0,0.188458249,0.0114359995,-0.000302500004
bt2100_to_bt709,0.25,0,0,0.415122747,-0.0311377496,-0.00453775004
bt2100_to_p3,0.25,0,0,0.335894495,-0.0163244996,0.000705500017
bt709_to_p3,0,0.25,0,0.0443842486,0.241701752,0.0180994999
bt709_to_bt2100,0,0.25,0,0.0823204964,0.22988525,0.0220032502
p3_to_bt709,0,0.25,0,-0.0562350005,0.260514259,-0.0196589995
p3_to_bt2100,0,0.25,0,0.0496492498,0.235444248,0.00440025004
bt2100_to_bt709,0,0.25,0,-0.14691025,0.283225,-0.0251447503
bt2100_to_p3,0,0.25,0,-0.0705447495,0.268947005,-0.00489949994
bt709_to_p3,0,0,0.25,2.49999999e-07,-2.49999999e-07,0.227630004
bt709_to_bt2100,0,0,0.25,0.0108284997,0.00284050009,0.223898754
p3_to_bt709,0,0,0.25,0,0,0.274568498
p3_to_bt2100,0,0,0.25,0.0118925003,0.00311974995,0.245902002
bt2100_to_bt709,0,0,0.25,-0.0182124991,-0.00208724989,0.279682487
bt2100_to_p3,0,0,0.25,-0.0153497504,-0.00262250006,0.25419426
bt709_to_p3,0.5,0,0,0.411231011,0.0165970009,0.0085415002
bt709_to_bt2100,0.5,0,0,0.313701987,0.0345484987,0.00819600001
p3_to_bt709,0.5,0,0,0.612469971,-0.0210285001,-0.00981900003
p3_to_bt2100,0.5,0,0,0.376916498,0.0228719991,-0.000605000008
bt2100_to_bt709,0.5,0,0,0.830245495,-0.0622754991,-0.00907550007
bt2100_to_p3,0.5,0,0,0.67178899,-0.0326489992,0.00141100003
bt709_to_p3,0,0.5,0,0.0887684971,0.483403504,0.0361989997
bt709_to_bt2100,0,0.5,0,0.164640993,0.459770501,0.0440065004
p3_to_bt709,0,0.5,0,-0.112470001,0.521028519,-0.039317999
p3_to_bt2100,0,0.5,0,0.0992984995,0.470888495,0.00880050007
bt2100_to_bt709,0,0.5,0,-0.2938205,0.56645,-0.0502895005
bt2100_to_p3,0,0.5,0,-0.141089499,0.537894011,-0.00979899988
bt709_to_p3,0,0,0.5,4.99999999e-07,-4.99999999e-07,0.455260009
bt709_to_bt2100,0,0,0.5,0.0216569994,0.00568100018,0.447797507
p3_to_bt709,0,0,0.5,0,0,0.549136996
p3_to_bt2100,0,0,0.5,0.0237850007,0.0062394999,0.491804004
bt2100_to_bt709,0,0,0.5,-0.0364249982,-0.00417449977,0.559364974
bt2100_to_p3,0,0,0.5,-0.0306995008,-0.00524500012,0.508388519
bt709_to_p3,0.75,0,0,0.616846502,0.0248955004,0.0128122503
bt709_to_bt2100,0.75,0,0,0.470552981,0.051822748,0.012294
p3_to_bt709,0.75,0,0,0.918704987,-0.0315427482,-0.0147284996
p3_to_bt2100,0.75,0,0,0.565374732,0.0343079977,-0.000907500042
bt2100_to_bt709,0.75,0,0,1.24536824,-0.0934132487,-0.0136132501
bt2100_to_p3,0.75,0,0,1.00768352,-0.0489735007,0.00211649993
bt709_to_p3,0,0.75,0,0.133152753,0.725105286,0.0542984977
bt709_to_bt2100,0,0.75,0,0.246961489,0.689655781,0.0660097525
p3_to_bt709,0,0.75,0,-0.168705001,0.781542778,-0.0589770004
p3_to_bt2100,0,0.75,0,0.148947746,0.706332743,0.0132007506
bt2100_to_bt709,0,0.75,0,-0.440730751,0.849675,-0.0754342526
bt2100_to_p3,0,0.75,0,-0.211634248,0.806841016,-0.0146984998
bt709_to_p3,0,0,0.75,7.50000027e-07,-7.50000027e-07,0.682889998
bt709_to_bt2100,0,0,0.75,0.0324855,0.00852150004,0.671696246
p3_to_bt709,0,0,0.75,0,0,0.823705494
p3_to_bt2100,0,0,0.75,0.0356775001,0.00935924985,0.737706006
bt2100_to_bt709,0,0,0.75,-0.0546374992,-0.00626174966,0.839047432
bt2100_to_p3,0,0,0.75,-0.0460492522,-0.00786750019,0.762582779
bt709_to_p3,1,0,0,0.822462022,0.0331940018,0.0170830004
bt709_to_bt2100,1,0,0,0.627403975,0.0690969974,0.016392
p3_to_bt709,1,0,0,1.22493994,-0.0420570001,-0.0196380001
p3_to_bt2100,1,0,0,0.753832996,0.0457439981,-0.00121000002
bt2100_to_bt709,1,0,0,1.66049099,-0.124550998,-0.0181510001
bt2100_to_p3,1,0,0,1.34357798,-0.0652979985,0.00282200007
bt709_to_p3,0,1,0,0.177536994,0.966807008,0.0723979995
bt709_to_bt2100,0,1,0,0.329281986,0.919541001,0.0880130008
p3_to_bt709,0,1,0,-0.224940002,1.04205704,-0.0786359981
p3_to_bt2100,0,1,0,0.198596999,0.941776991,0.0176010001
bt2100_to_bt709,0,1,0,-0.587641001,1.1329,-0.100579001
bt2100_to_p3,0,1,0,-0.282178998,1.07578802,-0.0195979998
bt709_to_p3,0,0,1,9.99999997e-07,-9.99999997e-07,0.910520017
bt709_to_bt2100,0,0,1,0.0433139987,0.0113620004,0.895595014
p3_to_bt709,0,0,1,0,0,1.09827399
p3_to_bt2100,0,0,1,0.0475700013,0.0124789998,0.983608007
bt2100_to_bt709,0,0,1,-0.0728499964,-0.00834899954,1.11872995
bt2100_to_p3,0,0,1,-0.0613990016,-0.0104900002,1.01677704
bt709_to_p3,1.5,0,0,1.233693,0.0497910008,0.0256245006
bt709_to_bt2100,1.5,0,0,0.941105962,0.103645496,0.024588
p3_to_bt709,1.5,0,0,1.83740997,-0.0630854964,-0.0294569992
p3_to_bt2100,1.5,0,0,1.13074946,0.0686159953,-0.00181500008
bt2100_to_bt709,1.5,0,0,2.49073648,-0.186826497,-0.0272265002
bt2100_to_p3,1.5,0,0,2.01536703,-0.0979470015,0.00423299987
bt709_to_p3,0,1.5,0,0.266305506,1.45021057,0.108596995
bt709_to_bt2100,0,1.5,0,0.493922979,1.37931156,0.132019505
p3_to_bt709,0,1.5,0,-0.337410003,1.56308556,-0.117954001
p3_to_bt2100,0,1.5,0,0.297895491,1.41266549,0.0264015011
bt2100_to_bt709,0,1.5,0,-0.881461501,1.69935,-0.150868505
bt2100_to_p3,0,1.5,0,-0.423268497,1.61368203,-0.0293969996
bt709_to_p3,0,0,1.5,1.50000005e-06,-1.50000005e-06,1.36578
bt709_to_bt2100,0,0,1.5,0.064971,0.0170430001,1.34339249
p3_to_bt709,0,0,1.5,0,0,1.64741099
p3_to_bt2100,0,0,1.5,0.0713550001,0.0187184997,1.47541201
bt2100_to_bt709,0,0,1.5,-0.109274998,-0.0125234993,1.67809486
bt2100_to_p3,0,0,1.5,-0.0920985043,-0.0157350004,1.52516556
bt709_to_p3,2,0,0,1.64492404,0.0663880035,0.0341660008
bt709_to_bt2100,2,0,0,1.25480795,0.138193995,0.032784
p3_to_bt709,2,0,0,2.44987988,-0.0841140002,-0.0392760001
p3_to_bt2100,2,0,0,1.50766599,0.0914879963,-0.00242000003
bt2100_to_bt709,2,0,0,3.32098198,-0.249101996,-0.0363020003
bt2100_to_p3,2,0,0,2.68715596,-0.130595997,0.00564400014
bt709_to_p3,0,2,0,0.355073988,1.93361402,0.144795999
bt709_to_bt2100,0,2,0,0.658563972,1.839082,0.176026002
p3_to_bt709,0,2,0,-0.449880004,2.08411407,-0.157271996
p3_to_bt2100,0,2,0,0.397193998,1.88355398,0.0352020003
bt2100_to_bt709,0,2,0,-1.175282,2.2658,-0.201158002
bt2100_to_p3,0,2,0,-0.564357996,2.15157604,-0.0391959995
bt709_to_p3,0,0,2,1.99999999e-06,-1.99999999e-06,1.82104003
bt709_to_bt2100,0,0,2,0.0866279975,0.0227240007,1.79119003
p3_to_bt709,0,0,2,0,0,2.19654799
p3_to_bt2100,0,0,2,0.0951400027,0.0249579996,1.96721601
bt2100_to_bt709,0,0,2,-0.145699993,-0.0166979991,2.2374599
bt2100_to_p3,0,0,2,-0.122798003,-0.0209800005,2.03355408
bt709_to_p3,4,0,0,3.28984809,0.132776007,0.0683320016
bt709_to_bt2100,4,0,0,2.5096159,0.27638799,0.0655680001
p3_to_bt709,4,0,0,4.89975977,-0.168228,-0.0785520002
p3_to_bt2100,4,0,0,3.01533198,0.182975993,-0.00484000007
bt2100_to_bt709,4,0,0,6.64196396,-0.498203993,-0.0726040006
bt2100_to_p3,4,0,0,5.37431192,-0.261191994,0.0112880003
bt709_to_p3,0,4,0,0.710147977,3.86722803,0.289591998
bt709_to_bt2100,0,4,0,1.31712794,3.67816401,0.352052003
p3_to_bt709,0,4,0,-0.899760008,4.16822815,-0.314543992
p3_to_bt2100,0,4,0,0.794387996,3.76710796,0.0704040006
bt2100_to_bt709,0,4,0,-2.350564,4.5316,-0.402316004
bt2100_to_p3,0,4,0,-1.12871599,4.30315208,-0.078391999
bt709_to_p3,0,0,4,3.99999999e-06,-3.99999999e-06,3.64208007
bt709_to_bt2100,0,0,4,0.173255995,0.0454480015,3.58238006
p3_to_bt709,0,0,4,0,0,4.39309597
p3_to_bt2100,0,0,4,0.190280005,0.0499159992,3.93443203
bt2100_to_bt709,0,0,4,-0.291399986,-0.0333959982,4.4749198
bt2100_to_p3,0,0,4,-0.245596007,-0.041960001,4.06710815
bt709_to_p3,0,0,0,0,0,0
bt709_to_bt2100,0,0,0,0,0,0
p3_to_bt709,0,0,0,0,0,0
p3_to_bt2100,0,0,0,0,0,0
bt2100_to_bt709,0,0,0,0,0,0
bt2100_to_p3,0,0,0,0,0,0
bt709_to_p3,0,0,0,0,0,0
bt709_to_bt2100,0,0,0,0,0,0
p3_to_bt709,0,0,0,0,0,0
p3_to_bt2100,0,0,0,0,0,0
bt2100_to_bt709,0,0,0,0,0,0
bt2100_to_p3,0,0,0,0,0,0
bt709_to_p3,0,0,0,0,0,0
bt709_to_bt2100,0,0,0,0,0,0
p3_to_bt709,0,0,0,0,0,0
p3_to_bt2100,0,0,0,0,0,0
bt2100_to_bt709,0,0,0,0,0,0
bt2100_to_p3,0,0,0,0,0,0
bt709_to_p3,0,0.00100000005,0.00100000005,0.000177538008,0.000966806081,0.000982918078
bt709_to_bt2100,0,0.00100000005,0.00100000005,0.000372595998,0.000930903072,0.000983608072
p3_to_bt709,0,0.00100000005,0.00100000005,-0.000224940013,0.00104205706,0.00101963803
p3_to_bt2100,0,0.00100000005,0.00100000005,0.000246167008,0.000954256044,0.00100120902
bt2100_to_bt709,0,0.00100000005,0.00100000005,-0.00066049106,0.00112455105,0.00101815106
bt2100_to_p3,0,0.00100000005,0.00100000005,-0.000343578024,0.0010652981,0.000997179071
bt709_to_p3,0.00100000005,0,0.00100000005,0.000822463073,3.31930023e-05,0.000927603105
bt709_to_bt2100,0.00100000005,0,0.00100000005,0.000670718029,8.04589945e-05,0.000911987037
p3_to_bt709,0.00100000005,0,0.00100000005,0.00122493994,-4.20570032e-05,0.00107863604
p3_to_bt2100,0.00100000005,0,0.00100000005,0.000801403017,5.82229986e-05,0.000982398051
bt2100_to_bt709,0.00100000005,0,0.00100000005,0.00158764108,-0.000132900008,0.00110057904
bt2100_to_p3,0.00100000005,0,0.00100000005,0.00128217915,-7.57880043e-05,0.00101959915
bt709_to_p3,0.00100000005,0.00100000005,0,0.000999999116,0.0010000011,8.94810073e-05
bt709_to_bt2100,0.00100000005,0.00100000005,0,0.000956685981,0.000988638029,0.000104405
p3_to_bt709,0.00100000005,0.00100000005,0,0.000999999931,0.00100000005,-9.82740021e-05
p3_to_bt2100,0.00100000005,0.00100000005,0,0.000952430069,0.000987521023,1.63910008e-05
bt2100_to_bt709,0.00100000005,0.00100000005,0,0.00107285008,0.00100834901,-0.000118730008
bt2100_to_p3,0.00100000005,0.00100000005,0,0.00106139912,0.00101049,-1.67760008e-05
bt709_to_p3,0,0.00999999978,0.00999999978,0.00177537987,0.00966805965,0.00982918032
bt709_to_bt2100,0,0.00999999978,0.00999999978,0.00372595969,0.00930903014,0.00983607955
p3_to_bt709,0,0.00999999978,0.00999999978,-0.0022493999,0.0104205702,0.0101963794
p3_to_bt2100,0,0.00999999978,0.00999999978,0.00246166997,0.00954255927,0.0100120893
bt2100_to_bt709,0,0.00999999978,0.00999999978,-0.0066049099,0.0112455096,0.010181509
bt2100_to_p3,0,0.00999999978,0.00999999978,-0.00343577983,0.0106529798,0.00997179002
bt709_to_p3,0.00999999978,0,0.00999999978,0.00822463073,0.000331930001,0.00927602965
bt709_to_bt2100,0.00999999978,0,0.00999999978,0.00670717936,0.000804589945,0.00911987014
p3_to_bt709,0.00999999978,0,0.00999999978,0.012249399,-0.000420569995,0.0107863601
p3_to_bt2100,0.00999999978,0,0.00999999978,0.00801402982,0.000582229986,0.00982397981
