# libultrahdr per-gamut luminance dot products
# columns: r, g, b, srgb_luma, p3_luma, bt2100_luma
# reference: lib/src/gainmapmath.cpp:94/164/195 @ libultrahdr commit 8cbc983
r,g,b,srgb_luma,p3_luma,bt2100_luma
1.5,0,0,0.318958521,0.343461901,0.394050002
0,1.5,0,1.07275355,1.03760767,1.01699698
0,0,1.5,0.108287998,0.118930355,0.0889529958
2,0,0,0.425278008,0.457949191,0.525399983
0,2,0,1.43033803,1.38347697,1.35599601
0,0,2,0.144383997,0.158573806,0.118603997
4,0,0,0.850556016,0.915898383,1.05079997
0,4,0,2.86067605,2.76695395,2.71199203
0,0,4,0.288767993,0.317147613,0.237207994
8,0,0,1.70111203,1.83179677,2.10159993
0,8,0,5.7213521,5.53390789,5.42398405
0,0,8,0.577535987,0.634295225,0.474415988
0,0,1,0.0721919984,0.0792869031,0.0593019985
0,0.00100000005,0,0.000715169066,0.000691738504,0.000677998061
0,0.00100000005,0.00100000005,0.000787361059,0.000771025429,0.000737300084
0,0.00100000005,1,0.0729071647,0.0799786448,0.0599799976
0,0.00999999978,0,0.00715168985,0.00691738492,0.00677997991
0,0.00999999978,0.00999999978,0.00787360966,0.00771025382,0.00737300003
0,0.00999999978,1,0.0793436915,0.0862042904,0.0660819784
0,0.0500000007,0,0.0357584506,0.0345869251,0.0338998996
0,0.0500000007,0.0500000007,0.039368052,0.038551271,0.0368649997
0,0.0500000007,1,0.107950449,0.113873824,0.093201898
0,0.100000001,0,0.0715169013,0.0691738501,0.0677997991
0,0.100000001,0.100000001,0.0787361041,0.0771025419,0.0737299994
0,0.100000001,1,0.1437089,0.148460746,0.127101794
0,0.180000007,0,0.128730431,0.124512933,0.122039646
0,0.180000007,0.180000007,0.141724989,0.138784572,0.132714003
0,0.180000007,1,0.20092243,0.203799844,0.181341648
0,0.25,0,0.178792253,0.172934622,0.169499502
0,0.25,0.25,0.196840256,0.192756355,0.184324995
0,0.25,1,0.250984251,0.252221525,0.228801504
0,0.5,0,0.357584506,0.345869243,0.338999003
0,0.5,0.5,0.393680513,0.38551271,0.368649989
0,0.5,1,0.42977649,0.425156146,0.398301005
0,0.75,0,0.536376774,0.518803835,0.50849849
0,0.75,0.75,0.590520799,0.578269005,0.552974999
0,0.75,1,0.608568788,0.598090768,0.567800462
0,1,0,0.715169013,0.691738486,0.677998006
0,1,1,0.787361026,0.771025419,0.737299979
0,1,1,0.787361026,0.771025419,0.737299979
0,1.5,0,1.07275355,1.03760767,1.01699698
0,1.5,1.5,1.1810416,1.15653801,1.10595
0,1.5,1,1.1449455,1.1168946,1.07629895
0,2,0,1.43033803,1.38347697,1.35599601
0,2,2,1.57472205,1.54205084,1.47459996
0,2,1,1.50252998,1.46276391,1.41529799
0,4,0,2.86067605,2.76695395,2.71199203
0,4,4,3.1494441,3.08410168,2.94919991
0,4,1,2.932868,2.84624076,2.77129412
0,8,0,5.7213521,5.53390789,5.42398405
0,8,8,6.29888821,6.16820335,5.89839983
0,8,1,5.79354429,5.61319494,5.4832859
0.00100000005,0,0,0.000212639017,0.000228974604,0.000262699992
0.00100000005,0,0.00100000005,0.000284831011,0.000308261515,0.000322001986
0.00100000005,0,1,0.0724046379,0.0795158744,0.0595646985
0.00100000005,0.00100000005,0,0.000927808112,0.000920713122,0.000940698083
0.00100000005,0.00100000005,0.00999999978,0.00164972804,0.00171358208,0.00153371808
0.00100000005,0.00100000005,1,0.0731198043,0.0802076161,0.0602426976
0.00100000005,0.00999999978,0,0.00736432895,0.00714635942,0.00704267994
0.00100000005,0.00999999978,0.0500000007,0.0109739285,0.0111107044,0.01000778
0.00100000005,0.00999999978,1,0.079556331,0.0864332616,0.0663446784
0.00100000005,0.0500000007,0,0.0359710902,0.0348159,0.0341625996
0.00100000005,0.0500000007,0.100000001,0.0431902893,0.0427445918,0.0400927998
0.00100000005,0.0500000007,1,0.108163089,0.114102803,0.0934645981
0.00100000005,0.100000001,0,0.0717295408,0.0694028214,0.0680624992
0.00100000005,0.100000001,0.180000007,0.0847240984,0.0836744606,0.0787368566
0.00100000005,0.100000001,1,0.143921539,0.148689717,0.127364501
0.00100000005,0.180000007,0,0.128943071,0.124741904,0.122302346
0.00100000005,0.180000007,0.25,0.146991074,0.14456363,0.137127846
0.00100000005,0.180000007,1,0.201135069,0.204028815,0.181604341
0.00100000005,0.25,0,0.179004893,0.173163593,0.169762194
0.00100000005,0.25,0.5,0.215100884,0.212807044,0.199413195
0.00100000005,0.25,1,0.251196891,0.252450496,0.229064196
0.00100000005,0.5,0,0.357797146,0.346098214,0.339261711
0.00100000005,0.5,0.75,0.411941141,0.405563384,0.38373822
0.00100000005,0.5,1,0.429989159,0.425385118,0.398563713
0.00100000005,0.75,0,0.536589384,0.519032836,0.508761168
0.00100000005,0.75,1,0.608781397,0.598319769,0.56806314
0.00100000005,0.75,1,0.608781397,0.598319769,0.56806314
0.00100000005,1,0,0.715381622,0.691967487,0.678260684
0.00100000005,1,1.5,0.823669612,0.810897827,0.767213702
0.00100000005,1,1,0.787573636,0.77125442,0.737562656
0.00100000005,1.5,0,1.07296622,1.03783667,1.01725972
0.00100000005,1.5,2,1.21735024,1.19641042,1.13586366
0.00100000005,1.5,1,1.14515817,1.1171236,1.07656169
0.00100000005,2,0,1.43055069,1.38370597,1.35625875
0.00100000005,2,4,1.71931863,1.70085359,1.59346676
0.00100000005,2,1,1.50274265,1.46299291,1.41556072
0.00100000005,4,0,2.86088872,2.76718283,2.71225476
0.00100000005,4,8,3.43842459,3.40147805,3.18667078
0.00100000005,4,1,2.93308067,2.84646964,2.77155685
0.00100000005,8,0,5.72156477,5.53413677,5.42424679
0.00100000005,8,0,5.72156477,5.53413677,5.42424679
0.00100000005,8,1,5.79375696,5.61342382,5.48354864
0.00999999978,0,0,0.00212638988,0.00228974596,0.00262699975
0.00999999978,0,0.00999999978,0.00284830993,0.00308261486,0.00322001986
0.00999999978,0,1,0.0743183866,0.0815766454,0.0619289987
0.00999999978,0.00100000005,0,0.00284155901,0.0029814844,0.00330499792
0.00999999978,0.00100000005,0.0500000007,0.00645115878,0.00694582984,0.00627009757
0.00999999978,0.00100000005,1,0.0750335604,0.0822683871,0.0626069978
0.00999999978,0.00999999978,0,0.00927807949,0.00920713134,0.00940698013
0.00999999978,0.00999999978,0.100000001,0.0164972804,0.0171358213,0.0153371803
0.00999999978,0.00999999978,1,0.0814700797,0.0884940326,0.0687089786
0.00999999978,0.0500000007,0,0.0378848389,0.036876671,0.0365268998
0.00999999978,0.0500000007,0.180000007,0.0508794002,0.051148314,0.0472012609
0.00999999978,0.0500000007,1,0.110076837,0.116163574,0.0958288983
0.00999999978,0.100000001,0,0.0736432895,0.0714635998,0.0704267994
0.00999999978,0.100000001,0.25,0.0916912854,0.0912853256,0.0852522999
0.00999999978,0.100000001,1,0.14583528,0.150750503,0.129728794
0.00999999978,0.180000007,0,0.130856827,0.126802683,0.124666646
0.00999999978,0.180000007,0.5,0.166952819,0.166446134,0.154317647
0.00999999978,0.180000007,1,0.203048825,0.206089586,0.183968648
0.00999999978,0.25,0,0.180918649,0.175224364,0.172126502
0.00999999978,0.25,0.75,0.235062644,0.234689534,0.216602996
0.00999999978,0.25,1,0.253110647,0.254511267,0.231428504
0.00999999978,0.5,0,0.359710902,0.348158985,0.341625988
0.00999999978,0.5,1,0.431902885,0.427445889,0.400927991
0.00999999978,0.5,1,0.431902885,0.427445889,0.400927991
0.00999999978,0.75,0,0.53850317,0.521093607,0.511125505
0.00999999978,0.75,1.5,0.64679116,0.640023947,0.600078523
0.00999999978,0.75,1,0.610695183,0.60038054,0.570427477
0.00999999978,1,0,0.717295408,0.694028258,0.680625021
0.00999999978,1,2,0.861679435,0.852602065,0.799229026
0.00999999978,1,1,0.789487422,0.773315191,0.739926994
0.00999999978,1.5,0,1.07487988,1.03989744,1.01962399
0.00999999978,1.5,4,1.36364794,1.35704505,1.256832
0.00999999978,1.5,1,1.14707184,1.11918437,1.07892597
0.00999999978,2,0,1.43246436,1.38576674,1.35862303
0.00999999978,2,8,2.01000023,2.02006197,1.83303905
0.00999999978,2,1,1.50465631,1.46505368,1.417925
0.00999999978,4,0,2.86280251,2.76924372,2.71461892
0.00999999978,4,0,2.86280251,2.76924372,2.71461892
0.00999999978,4,1,2.93499446,2.84853053,2.77392101
0.00999999978,8,0,5.72347832,5.53619766,5.42661095
0.00999999978,8,0.00100000005,5.72355032,5.53627682,5.42667007
0.00999999978,8,1,5.79567051,5.61548471,5.4859128
0.0500000007,0,0,0.0106319506,0.0114487298,0.0131350001
0.0500000007,0,0.0500000007,0.0142415501,0.0154130757,0.0161000993
0.0500000007,0,1,0.0828239471,0.0907356292,0.0724369958
0.0500000007,0.00100000005,0,0.0113471197,0.0121404687,0.0138129983
0.0500000007,0.00100000005,0.100000001,0.0185663197,0.0200691596,0.0197431985
0.0500000007,0.00100000005,1,0.0835391209,0.0914273709,0.0731149986
0.0500000007,0.00999999978,0,0.01778364,0.0183661152,0.019914981
0.0500000007,0.00999999978,0.180000007,0.0307781994,0.03263776,0.0305893421
0.0500000007,0.00999999978,1,0.0899756402,0.0976530164,0.0792169794
0.0500000007,0.0500000007,0,0.0463903993,0.0460356548,0.0470349006
0.0500000007,0.0500000007,0.25,0.0644384027,0.0658573806,0.0618604012
0.0500000007,0.0500000007,1,0.118582398,0.125322551,0.106336899
0.0500000007,0.100000001,0,0.08214885,0.0806225836,0.0809348002
0.0500000007,0.100000001,0.5,0.118244849,0.120266035,0.110585801
0.0500000007,0.100000001,1,0.154340848,0.159909487,0.140236795
0.0500000007,0.180000007,0,0.13936238,0.135961667,0.135174647
0.0500000007,0.180000007,0.75,0.193506375,0.195426852,0.179651141
0.0500000007,0.180000007,1,0.211554378,0.21524857,0.194476649
0.0500000007,0.25,0,0.189424202,0.184383348,0.182634503
0.0500000007,0.25,1,0.2616162,0.263670266,0.241936505
0.0500000007,0.25,1,0.2616162,0.263670266,0.241936505
0.0500000007,0.5,0,0.368216455,0.357317984,0.352133989
0.0500000007,0.5,1.5,0.476504445,0.476248324,0.441086978
0.0500000007,0.5,1,0.440408468,0.436604887,0.411435992
0.0500000007,0.75,0,0.547008753,0.530252576,0.521633506
0.0500000007,0.75,2,0.691392779,0.688826382,0.64023751
0.0500000007,0.75,1,0.619200766,0.609539509,0.580935478
0.0500000007,1,0,0.725800991,0.703187227,0.691133022
0.0500000007,1,4,1.01456904,1.02033484,0.928341031
0.0500000007,1,1,0.797993004,0.78247416,0.750434995
0.0500000007,1.5,0,1.08338547,1.04905641,1.03013194
0.0500000007,1.5,8,1.66092145,1.68335164,1.50454795
0.0500000007,1.5,1,1.15557742,1.12834334,1.08943391
0.0500000007,2,0,1.44096994,1.39492571,1.36913097
0.0500000007,2,0,1.44096994,1.39492571,1.36913097
0.0500000007,2,1,1.5131619,1.47421265,1.42843294
0.0500000007,4,0,2.87130809,2.77840257,2.72512698
0.0500000007,4,0.00100000005,2.87138033,2.77848196,2.72518635
0.0500000007,4,1,2.94350004,2.85768938,2.78442907
0.0500000007,8,0,5.73198414,5.54535675,5.43711901
0.0500000007,8,0.00999999978,5.73270607,5.54614973,5.43771219
0.0500000007,8,1,5.80417633,5.6246438,5.49642086
0.100000001,0,0,0.0212639011,0.0228974596,0.0262700003
0.100000001,0,0.100000001,0.0284831002,0.0308261514,0.0322001986
0.100000001,0,1,0.0934558958,0.102184363,0.0855719969
0.100000001,0.00100000005,0,0.0219790693,0.0235891975,0.0269479975
0.100000001,0.00100000005,0.180000007,0.0349736288,0.0378608406,0.0376223586
0.100000001,0.00100000005,1,0.0941710696,0.102876097,0.0862499923
0.100000001,0.00999999978,0,0.0284155905,0.029814845,0.0330499783
0.100000001,0.00999999978,0.25,0.0464635901,0.0496365726,0.0478754789
0.100000001,0.00999999978,1,0.100607589,0.10910175,0.0923519731
0.100000001,0.0500000007,0,0.0570223518,0.0574843846,0.060169898
0.100000001,0.0500000007,0.5,0.0931183547,0.0971278399,0.0898208991
0.100000001,0.0500000007,1,0.129214346,0.136771291,0.119471893
0.100000001,0.100000001,0,0.0927807987,0.0920713097,0.0940698013
0.100000001,0.100000001,0.75,0.146924794,0.151536494,0.138546303
0.100000001,0.100000001,1,0.164972797,0.171358213,0.153371796
0.100000001,0.180000007,0,0.149994329,0.147410393,0.148309648
0.100000001,0.180000007,1,0.222186327,0.226697296,0.20761165
0.100000001,0.180000007,1,0.222186327,0.226697296,0.20761165
0.100000001,0.25,0,0.200056151,0.195832074,0.195769504
0.100000001,0.25,1.5,0.308344156,0.314762414,0.284722507
0.100000001,0.25,1,0.272248149,0.275118977,0.255071491
0.100000001,0.5,0,0.378848404,0.368766695,0.365269005
0.100000001,0.5,2,0.5232324,0.527340531,0.48387301
0.100000001,0.5,1,0.451040387,0.448053598,0.424571007
0.100000001,0.75,0,0.557640672,0.541701317,0.534768462
0.100000001,0.75,4,0.846408665,0.858848929,0.771976471
0.100000001,0.75,1,0.629832685,0.62098825,0.594070435
0.100000001,1,0,0.73643291,0.714635968,0.704267979
0.100000001,1,8,1.3139689,1.34893119,1.178684
0.100000001,1,1,0.808624923,0.793922901,0.763569951
0.100000001,1.5,0,1.09401751,1.06050515,1.04326701
0.100000001,1.5,0,1.09401751,1.06050515,1.04326701
0.100000001,1.5,1,1.16620946,1.13979208,1.10256898
0.100000001,2,0,1.45160198,1.40637445,1.38226604
0.100000001,2,0.00100000005,1.45167422,1.40645373,1.38232529
0.100000001,2,1,1.52379394,1.48566139,1.44156802
0.100000001,4,0,2.88193989,2.78985143,2.73826194
0.100000001,4,0.00999999978,2.88266182,2.79064441,2.73885489
0.100000001,4,1,2.95413184,2.86913824,2.79756403
0.100000001,8,0,5.74261618,5.55680513,5.45025396
0.100000001,8,0.0500000007,5.74622583,5.56076956,5.45321894
0.100000001,8,1,5.81480837,5.63609219,5.50955582
0.180000007,0,0,0.0382750221,0.0412154272,0.0472860001
0.180000007,0,0.180000007,0.0512695834,0.0554870702,0.0579603612
0.180000007,0,1,0.110467017,0.12050233,0.106587999
0.180000007,0.00100000005,0,0.0389901921,0.0419071652,0.0479639992
0.180000007,0.00100000005,0.25,0.0570381917,0.061728891,0.0627894998
0.180000007,0.00100000005,1,0.11118219,0.121194065,0.107265994
0.180000007,0.00999999978,0,0.0454267114,0.0481328107,0.05406598
0.180000007,0.00999999978,0.5,0.0815227106,0.0877762586,0.0837169811
0.180000007,0.00999999978,1,0.11761871,0.12741971,0.113367975
0.180000007,0.0500000007,0,0.074033469,0.075802356,0.0811858997
0.180000007,0.0500000007,0.75,0.128177464,0.135267526,0.125662401
0.180000007,0.0500000007,1,0.146225467,0.155089259,0.140487894
0.180000007,0.100000001,0,0.10979192,0.110389277,0.115085796
0.180000007,0.100000001,1,0.181983918,0.18967618,0.174387798
0.180000007,0.100000001,1,0.181983918,0.18967618,0.174387798
0.180000007,0.180000007,0,0.16700545,0.16572836,0.16932565
0.180000007,0.180000007,1.5,0.27529344,0.28465873,0.258278638
0.180000007,0.180000007,1,0.239197448,0.245015264,0.228627652
0.180000007,0.25,0,0.217067271,0.214150041,0.216785505
0.180000007,0.25,2,0.361451268,0.372723848,0.335389495
0.180000007,0.25,1,0.289259255,0.293436944,0.276087493
0.180000007,0.5,0,0.39585954,0.387084663,0.386285007
0.180000007,0.5,4,0.684627533,0.704232275,0.623493016
0.180000007,0.5,1,0.468051553,0.466371566,0.445587009
0.180000007,0.75,0,0.574651778,0.560019255,0.555784464
0.180000007,0.75,8,1.15218782,1.19431448,1.03020048
0.180000007,0.75,1,0.646843791,0.639306188,0.615086436
0.180000007,1,0,0.753444016,0.732953906,0.72528398
0.180000007,1,0,0.753444016,0.732953906,0.72528398
0.180000007,1,1,0.825636029,0.812240839,0.784585953
0.180000007,1.5,0,1.11102855,1.07882309,1.06428301
0.180000007,1.5,0.00100000005,1.11110079,1.07890236,1.06434226
0.180000007,1.5,1,1.18322051,1.15811002,1.12358499
0.180000007,2,0,1.46861303,1.42469239,1.40328205
0.180000007,2,0.00999999978,1.46933496,1.42548525,1.40387511
0.180000007,2,1,1.54080498,1.50397933,1.46258402
0.180000007,4,0,2.89895105,2.80816936,2.75927806
0.180000007,4,0.0500000007,2.90256071,2.81213379,2.76224327
0.180000007,4,1,2.97114301,2.88745618,2.81858015
0.180000007,8,0,5.75962734,5.57512331,5.47127008
0.180000007,8,0.100000001,5.76684666,5.58305216,5.47720051
0.180000007,8,1,5.83181953,5.65441036,5.53057194
0.25,0,0,0.053159751,0.0572436489,0.0656749979
0.25,0,0.25,0.0712077469,0.0770653784,0.0805004984
0.25,0,1,0.125351757,0.136530548,0.124976993
0.25,0.00100000005,0,0.0538749211,0.0579353869,0.0663529932
0.25,0.00100000005,0.5,0.0899709165,0.0975788385,0.0960039943
0.25,0.00100000005,1,0.126066923,0.13722229,0.125654995
0.25,0.00999999978,0,0.0603114404,0.0641610324,0.0724549741
0.25,0.00999999978,0.75,0.114455439,0.12362621,0.116931468
0.25,0.00999999978,1,0.132503435,0.143447936,0.131756976
0.25,0.0500000007,0,0.0889182016,0.091830574,0.0995748937
0.25,0.0500000007,1,0.161110193,0.171117485,0.158876896
0.25,0.0500000007,1,0.161110193,0.171117485,0.158876896
0.25,0.100000001,0,0.124676652,0.126417503,0.133474797
0.25,0.100000001,1.5,0.23296465,0.245347857,0.222427785
0.25,0.100000001,1,0.196868658,0.205704406,0.192776799
0.25,0.180000007,0,0.18189019,0.181756586,0.187714636
0.25,0.180000007,2,0.326274186,0.340330392,0.306318641
0.25,0.180000007,1,0.254082203,0.261043489,0.247016639
0.25,0.25,0,0.231952012,0.230178267,0.235174507
0.25,0.25,4,0.520720005,0.54732585,0.472382486
0.25,0.25,1,0.304144025,0.30946517,0.294476509
0.25,0.5,0,0.41074425,0.403112888,0.404673994
0.25,0.5,8,0.988280237,1.03740811,0.879089952
0.25,0.5,1,0.482936263,0.482399791,0.463975996
0.25,0.75,0,0.589536548,0.57604748,0.57417351
0.25,0.75,0,0.589536548,0.57604748,0.57417351
0.25,0.75,1,0.661728561,0.655334353,0.633475482
0.25,1,0,0.768328786,0.748982131,0.743673027
0.25,1,0.00100000005,0.768400967,0.749061406,0.743732333
0.25,1,1,0.840520799,0.828269005,0.802974999
0.25,1.5,0,1.12591326,1.09485137,1.082672
0.25,1.5,0.00999999978,1.12663519,1.09564424,1.08326507
0.25,1.5,1,1.19810522,1.17413831,1.14197397
0.25,2,0,1.48349774,1.44072068,1.42167103
0.25,2,0.0500000007,1.4871074,1.44468498,1.42463613
0.25,2,1,1.55568969,1.52000761,1.48097301
0.25,4,0,2.91383576,2.82419753,2.77766705
0.25,4,0.100000001,2.92105508,2.83212614,2.78359723
0.25,4,1,2.98602772,2.90348434,2.83696914
0.25,8,0,5.77451181,5.59115171,5.48965883
0.25,8,0.180000007,5.78750658,5.60542345,5.50033331
0.25,8,1,5.84670401,5.67043877,5.54896069
0.5,0,0,0.106319502,0.114487298,0.131349996
0.5,0,0.5,0.142415494,0.154130757,0.161000997
0.5,0,1,0.1785115,0.193774194,0.190651998
0.5,0.00100000005,0,0.107034668,0.11517904,0.132027999
0.5,0.00100000005,0.75,0.161178663,0.174644217,0.176504493
0.5,0.00100000005,1,0.179226667,0.194465935,0.191330001
0.5,0.00999999978,0,0.113471195,0.121404685,0.138129979
0.5,0.00999999978,1,0.185663193,0.200691581,0.197431982
0.5,0.00999999978,1,0.185663193,0.200691581,0.197431982
0.5,0.0500000007,0,0.142077953,0.149074227,0.165249899
0.5,0.0500000007,1.5,0.250365943,0.268004596,0.254202902
0.5,0.0500000007,1,0.214269951,0.22836113,0.224551901
0.5,0.100000001,0,0.177836403,0.183661148,0.199149787
0.5,0.100000001,2,0.322220385,0.342234969,0.317753792
0.5,0.100000001,1,0.250028402,0.262948036,0.25845179
0.5,0.180000007,0,0.235049933,0.239000231,0.253389657
0.5,0.180000007,4,0.523817897,0.556147814,0.490597665
0.5,0.180000007,1,0.307241917,0.318287134,0.312691659
0.5,0.25,0,0.285111755,0.287421912,0.300849497
0.5,0.25,8,0.862647772,0.921717167,0.775265455
0.5,0.25,1,0.357303739,0.366708815,0.3601515
0.5,0.5,0,0.463904023,0.460356534,0.470349014
0.5,0.5,0,0.463904023,0.460356534,0.470349014
0.5,0.5,1,0.536096036,0.539643407,0.529650986
0.5,0.75,0,0.642696261,0.633291125,0.639848471
0.5,0.75,0.00100000005,0.642768443,0.633370399,0.639907777
0.5,0.75,1,0.714888275,0.712578058,0.699150443
0.5,1,0,0.8214885,0.806225777,0.809347987
0.5,1,0.00999999978,0.822210431,0.807018638,0.809940994
0.5,1,1,0.893680513,0.88551271,0.86864996
0.5,1.5,0,1.1790731,1.15209496,1.14834702
0.5,1.5,0.0500000007,1.18268275,1.15605927,1.15131211
0.5,1.5,1,1.25126505,1.23138189,1.20764899
0.5,2,0,1.53665757,1.49796426,1.48734605
0.5,2,0.100000001,1.54387677,1.50589299,1.49327624
0.5,2,1,1.60884953,1.5772512,1.54664803
0.5,4,0,2.96699548,2.88144135,2.84334207
0.5,4,0.180000007,2.97999001,2.89571309,2.85401654
0.5,4,1,3.03918743,2.96072817,2.90264416
0.5,8,0,5.82767153,5.64839506,5.55533409
0.5,8,0.25,5.84571934,5.66821671,5.57015944
0.5,8,1,5.89986372,5.72768211,5.61463594
0.75,0,0,0.15947926,0.17173095,0.197025001
0.75,0,0.75,0.213623255,0.231196135,0.241501495
0.75,0,1,0.231671259,0.251017869,0.256327003
0.75,0.00100000005,0,0.160194427,0.172422692,0.197703004
0.75,0.00100000005,1,0.232386425,0.25170958,0.257005006
0.75,0.00100000005,1,0.232386425,0.25170958,0.257005006
0.75,0.00999999978,0,0.166630954,0.178648338,0.203804985
0.75,0.00999999978,1.5,0.274918944,0.297578692,0.292757988
0.75,0.00999999978,1,0.238822952,0.257935226,0.263106972
0.75,0.0500000007,0,0.195237711,0.206317872,0.230924904
0.75,0.0500000007,2,0.339621723,0.364891678,0.349528909
0.75,0.0500000007,1,0.267429709,0.285604775,0.290226907
0.75,0.100000001,0,0.230996162,0.240904808,0.264824808
0.75,0.100000001,4,0.519764185,0.558052421,0.502032816
0.75,0.100000001,1,0.303188145,0.320191711,0.32412681
0.75,0.180000007,0,0.288209677,0.296243876,0.319064647
0.75,0.180000007,8,0.865745664,0.930539131,0.793480635
0.75,0.180000007,1,0.36040169,0.375530779,0.378366649
0.75,0.25,0,0.338271499,0.344665587,0.366524518
0.75,0.25,0,0.338271499,0.344665587,0.366524518
0.75,0.25,1,0.410463512,0.42395249,0.42582652
0.75,0.5,0,0.517063737,0.517600179,0.536023974
0.75,0.5,0.00100000005,0.517135918,0.517679453,0.536083281
0.75,0.5,1,0.58925575,0.596887112,0.595325947
0.75,0.75,0,0.695856035,0.69053477,0.705523491
0.75,0.75,0.00999999978,0.696577966,0.691327631,0.706116498
0.75,0.75,1,0.768048048,0.769821644,0.764825463
0.75,1,0,0.874648273,0.863469422,0.875023007
0.75,1,0.0500000007,0.878257871,0.867433786,0.8779881
0.75,1,1,0.946840286,0.942756295,0.93432498
0.75,1.5,0,1.23223281,1.20933867,1.21402192
0.75,1.5,0.100000001,1.239452,1.21726739,1.21995211
0.75,1.5,1,1.30442476,1.2886256,1.27332389
0.75,2,0,1.58981729,1.55520797,1.55302095
0.75,2,0.180000007,1.60281181,1.56947958,1.56369531
0.75,2,1,1.66200924,1.6344949,1.61232293
0.75,4,0,3.02015543,2.93868494,2.90901709
0.75,4,0.25,3.03820348,2.95850658,2.92384267
0.75,4,1,3.09234738,3.01797175,2.96831918
0.75,8,0,5.88083124,5.70563889,5.62100887
0.75,8,0.5,5.91692734,5.74528217,5.65066004
0.75,8,1,5.95302343,5.78492594,5.68031073
1,0,0,0.212639004,0.228974596,0.262699991
1,0,1,0.284830987,0.308261514,0.322001994
1,0,1,0.284830987,0.308261514,0.322001994
1,0.00100000005,0,0.21335417,0.229666337,0.263377994
1,0.00100000005,1.5,0.32164216,0.348596692,0.352330983
1,0.00100000005,1,0.285546184,0.308953226,0.322679996
1,0.00999999978,0,0.219790697,0.235891983,0.26947996
1,0.00999999978,2,0.364174694,0.394465804,0.388083965
1,0.00999999978,1,0.29198271,0.315178871,0.328781962
1,0.0500000007,0,0.248397455,0.263561517,0.296599895
1,0.0500000007,4,0.537165463,0.5807091,0.533807874
1,0.0500000007,1,0.320589453,0.34284842,0.355901897
1,0.100000001,0,0.284155905,0.298148453,0.330499798
1,0.100000001,8,0.861691892,0.932443678,0.804915786
1,0.100000001,1,0.356347919,0.377435356,0.3898018
1,0.180000007,0,0.34136945,0.353487521,0.384739637
1,0.180000007,0,0.34136945,0.353487521,0.384739637
1,0.180000007,1,0.413561463,0.432774425,0.44404164
1,0.25,0,0.391431272,0.401909232,0.432199478
1,0.25,0.00100000005,0.391503453,0.401988506,0.432258785
1,0.25,1,0.463623285,0.481196135,0.49150148
1,0.5,0,0.57022351,0.574843824,0.601698995
1,0.5,0.00999999978,0.570945442,0.575636685,0.602292001
1,0.5,1,0.642415524,0.654130697,0.661000967
1,0.75,0,0.749015808,0.747778416,0.771198511
