# generated by reference-checks/aces_ocio_encodings_reference.py, OpenColorIO 2.5.2
# ASC CDL via OCIO CDLTransform, styles ASC (clamping) and NO_CLAMP
# columns: config,style,dir,in_r,in_g,in_b,out_r,out_g,out_b
# configs: warm: slope=[1.1, 1.0, 0.9] offset=[0.02, 0.0, -0.01] power=[0.95, 1.0, 1.05] sat=1.2; desat: slope=[0.8, 0.9, 1.2] offset=[-0.05, 0.03, 0.1] power=[1.3, 0.7, 1.0] sat=0.4; extreme: slope=[2.0, 0.5, 1.5] offset=[0.3, -0.2, 0.05] power=[0.5, 2.0, 1.0] sat=0.0
warm,noclamp,fwd,-0.04678405,0.07795956,0.13675798,-0.04903294,0.08227454,0.11040963
warm,noclamp,fwd,0.017277788,0.2918255,0.04677635,0.01096575,0.30610895,-0.011650518
warm,noclamp,fwd,1.5,0.2,-0.1,1.8569015,0.1436243,-0.21637502
warm,noclamp,fwd,-0.3,2.0,0.8,-0.65498054,2.1170473,0.55454785
warm,noclamp,fwd,0.9,0.9,1.1,1.0256039,0.8942102,0.989008
warm,noclamp,inv,0.028295396,-0.00088972645,-0.012889726,2.2013078e-08,0.0,-1.0348029e-09
warm,noclamp,inv,0.091236144,0.04879046,0.024308987,0.05000059,0.04999971,0.04999974
warm,noclamp,inv,2.1564484,1.9966291,1.8080714,1.9999672,2.0000463,2.000022
warm,noclamp,inv,0.09895993,-0.0034855865,-0.015485588,0.05000059,0.0,-2.0696058e-09
warm,noclamp,inv,0.027723592,-0.001461531,0.034056827,2.2013078e-08,-4.656613e-10,0.04999974
warm,noclamp,inv,-0.043225467,0.52759635,-0.08441058,1.0159882e-08,0.5000114,-2.2765665e-08
warm,noclamp,inv,1.2891932,-0.047208786,-0.05920878,0.9999927,-1.4901161e-08,1.0348029e-08
warm,noclamp,inv,0.0153739415,-0.0138111785,1.0479937,2.2013078e-08,0.0,1.0000175
warm,noclamp,inv,-1.4021211,10.568829,-1.4433064,-2.4214387e-07,10.000224,-2.545615e-07
warm,noclamp,inv,26.408886,24.022507,43.757164,28.418318,24.34431,37.9969
warm,noclamp,inv,14.955528,46.924313,6.846327,19.779894,45.30895,11.772702
warm,noclamp,inv,0.26993632,5.7086873,0.5864973,0.8164702,5.4543333,1.3180763
warm,noclamp,inv,45.23572,7.442645,106.28118,45.84198,9.97125,82.71755
warm,noclamp,inv,0.030553564,0.0013168114,-0.012403101,0.0017597475,0.0021876646,0.0008382338
warm,noclamp,inv,3.5605774,1.5641727,1.9874258,3.1801472,1.6400087,2.153737
warm,noclamp,inv,0.029854327,0.21510138,0.092805915,0.022847021,0.20706668,0.14117685
warm,noclamp,inv,0.030615177,-9.820191e-05,-0.010567822,0.0016861849,0.00086409925,0.0023771203
warm,noclamp,inv,-0.04903294,0.08227454,0.11040963,-0.046784054,0.07796131,0.13675883
warm,noclamp,inv,0.01096575,0.30610895,-0.011650518,0.017277785,0.29182914,0.046776477
warm,noclamp,inv,1.8569015,0.1436243,-0.21637502,1.500009,0.1999989,-0.099999964
warm,noclamp,inv,-0.65498054,2.1170473,0.55454785,-0.30000016,2.0000455,0.7999904
warm,noclamp,inv,1.0256039,0.8942102,0.989008,0.90000725,0.9000133,1.0999879
desat,asc,fwd,0.0,0.0,0.0,0.041192494,0.07555165,0.08119238
desat,asc,fwd,0.05,0.05,0.05,0.0769356,0.14218946,0.14093621
desat,asc,fwd,2.0,2.0,2.0,1.0,1.0,1.0
desat,asc,fwd,0.05,0.0,0.0,0.041192494,0.07555165,0.08119238
desat,asc,fwd,0.0,0.0,0.05,0.04379177,0.078150935,0.10779238
desat,asc,fwd,0.0,0.5,0.0,0.26104388,0.50033534,0.30104375
desat,asc,fwd,1.0,0.0,0.0,0.40414268,0.16331026,0.16895099
desat,asc,fwd,0.0,0.0,1.0,0.080181,0.11454017,0.48018563
desat,asc,fwd,0.0,10.0,0.0,0.43345577,0.8334593,0.47345567
desat,asc,fwd,28.41841,24.344778,37.99694,1.0,1.0,1.0
desat,asc,fwd,19.77978,45.30961,11.772767,1.0,1.0,1.0
desat,asc,fwd,0.8164644,5.4543414,1.3180557,0.74587595,0.9385615,0.93856263
desat,asc,fwd,45.84187,9.971024,82.71785,1.0,1.0,1.0
desat,asc,fwd,0.0017597021,0.0021876774,0.0008382342,0.04291337,0.078835994,0.0833157
desat,asc,fwd,3.1801033,1.6400017,2.1537457,1.0,1.0,1.0
desat,asc,fwd,0.022847129,0.20706503,0.14117625,0.15863228,0.29562098,0.2663958
desat,asc,fwd,0.0016861375,0.0008640829,0.002377121,0.041982464,0.076962784,0.08312359
desat,asc,fwd,-0.04678405,0.07795956,0.13675798,0.09715962,0.17706127,0.2028023
desat,asc,fwd,0.017277788,0.2918255,0.04677635,0.1883223,0.3575604,0.25077567
desat,asc,fwd,1.5,0.2,-0.1,0.67149204,0.40564427,0.2714864
desat,asc,fwd,-0.3,2.0,0.8,0.4724443,0.87244785,0.8724489
desat,asc,fwd,0.9,0.9,1.1,0.7365913,0.8529748,0.8989346
desat,asc,inv,0.041192494,0.07555165,0.08119238,0.06250119,0.0,0.0
desat,asc,inv,0.0769356,0.14218946,0.14093621,0.0625,0.050001685,0.050002515
desat,asc,inv,1.0,1.0,1.0,1.0,1.0,0.7500096
desat,asc,inv,0.041192494,0.07555165,0.08119238,0.06250119,0.0,0.0
desat,asc,inv,0.04379177,0.078150935,0.10779238,0.0625,0.0,0.050002478
desat,asc,inv,0.26104388,0.50033534,0.30104375,0.062502034,0.50000393,0.0
desat,asc,inv,0.40414268,0.16331026,0.16895099,0.99998826,0.0,0.0
desat,asc,inv,0.080181,0.11454017,0.48018563,0.0625,0.0,0.7500096
desat,asc,inv,0.43345577,0.8334593,0.47345567,0.0625,1.0,0.0
desat,asc,inv,1.0,1.0,1.0,1.0,1.0,0.7500096
desat,asc,inv,1.0,1.0,1.0,1.0,1.0,0.7500096
desat,asc,inv,0.74587595,0.9385615,0.93856263,0.8164677,1.0,0.7500096
desat,asc,inv,1.0,1.0,1.0,1.0,1.0,0.7500096
desat,asc,inv,0.04291337,0.078835994,0.0833157,0.06250119,0.0021871119,0.0008381096
desat,asc,inv,1.0,1.0,1.0,1.0,1.0,0.7500096
desat,asc,inv,0.15863228,0.29562098,0.2663958,0.0625,0.20706671,0.14117174
desat,asc,inv,0.041982464,0.076962784,0.08312359,0.0625,0.00086366927,0.0023775857
desat,asc,inv,0.09715962,0.17706127,0.2028023,0.0625,0.07795879,0.13675319
desat,asc,inv,0.1883223,0.3575604,0.25077567,0.0625,0.29183114,0.046779294
desat,asc,inv,0.67149204,0.40564427,0.2714864,1.0,0.20000221,0.0
desat,asc,inv,0.4724443,0.87244785,0.8724489,0.0625,1.0,0.7500096
desat,asc,inv,0.7365913,0.8529748,0.8989346,0.9000075,0.9000179,0.7500096
desat,noclamp,fwd,0.0,0.0,0.0,0.014814492,0.06917366,0.07481439
desat,noclamp,fwd,0.05,0.05,0.05,0.071660005,0.14091386,0.13966061
desat,noclamp,fwd,2.0,2.0,2.0,1.6959924,1.5995053,1.9888904
desat,noclamp,fwd,0.05,0.0,0.0,0.035916895,0.07427605,0.07991678
desat,noclamp,fwd,0.0,0.0,0.05,0.017413773,0.07177293,0.10141438
desat,noclamp,fwd,0.0,0.5,0.0,0.23466587,0.49395734,0.29466575
desat,noclamp,fwd,1.0,0.0,0.0,0.40414268,0.16331026,0.16895099
desat,noclamp,fwd,0.0,0.0,1.0,0.06679893,0.12115809,0.6068029
desat,noclamp,fwd,0.0,10.0,0.0,1.9803988,3.8669581,2.0403986
desat,noclamp,fwd,28.41841,24.344778,37.99694,36.23702,16.56394,31.367537
desat,noclamp,fwd,19.77978,45.30961,11.772767,25.408688,16.340271,16.666021
desat,noclamp,fwd,0.8164644,5.4543414,1.3180557,1.6588502,2.67503,2.1242034
desat,noclamp,fwd,45.84187,9.971024,82.71785,63.20898,21.924988,59.806458
desat,noclamp,fwd,0.0017597021,0.0021876774,0.0008382342,0.017278045,0.07263757,0.07711727
desat,noclamp,fwd,3.1801033,1.6400017,2.1537457,2.4186964,1.6391158,2.1801503
desat,noclamp,fwd,0.022847129,0.20706503,0.14117625,0.14189687,0.2915745,0.2623493
desat,noclamp,fwd,0.0016861375,0.0008640829,0.002377121,0.016316097,0.07075685,0.076917656
desat,noclamp,fwd,-0.04678405,0.07795956,0.13675798,0.051036492,0.16590905,0.19165006
desat,noclamp,fwd,0.017277788,0.2918255,0.04677635,0.16923636,0.35294557,0.24616084
desat,noclamp,fwd,1.5,0.2,-0.1,0.7757346,0.4301924,0.28803453
desat,noclamp,fwd,-0.3,2.0,0.8,0.54800594,1.274632,1.0880013
desat,noclamp,fwd,0.9,0.9,1.1,0.7547847,0.8711682,1.0851191
desat,noclamp,inv,0.014814492,0.06917366,0.07481439,-1.3969839e-08,-3.3734574e-07,-4.5945245e-07
desat,noclamp,inv,0.071660005,0.14091386,0.13966061,0.050000012,0.050001685,0.050002478
desat,noclamp,inv,1.6959924,1.5995053,1.9888904,1.9999994,1.999982,2.0000467
desat,noclamp,inv,0.035916895,0.07427605,0.07991678,0.050000004,-3.2492812e-07,-4.5945245e-07
desat,noclamp,inv,0.017413773,0.07177293,0.10141438,4.656613e-09,-3.3734574e-07,0.050002478
desat,noclamp,inv,0.23466587,0.49395734,0.29466575,2.3283064e-08,0.50000393,-4.1599074e-07
desat,noclamp,inv,0.40414268,0.16331026,0.16895099,0.99998826,-3.3734574e-07,-4.4703484e-07
desat,noclamp,inv,0.06679893,0.12115809,0.6068029,-1.3969839e-08,-3.2492812e-07,1.0000161
desat,noclamp,inv,1.9803988,3.8669581,2.0403986,6.053597e-08,10.000081,-5.029142e-07
desat,noclamp,inv,36.23702,16.56394,31.367537,28.418354,24.344421,37.996315
desat,noclamp,inv,25.408688,16.340271,16.666021,19.77969,45.310455,11.772983
desat,noclamp,inv,1.6588502,2.67503,2.1242034,0.8164674,5.4543333,1.3180737
desat,noclamp,inv,63.20898,21.924988,59.806458,45.842205,9.971088,82.71655
desat,noclamp,inv,0.017278045,0.07263757,0.07711727,0.0017596968,0.0021871119,0.0008380972
desat,noclamp,inv,2.4186964,1.6391158,2.1801503,3.180144,1.6399922,2.153754
desat,noclamp,inv,0.14189687,0.2915745,0.2623493,0.022847116,0.20706677,0.14117174
desat,noclamp,inv,0.016316097,0.07075685,0.076917656,0.0016861362,0.0008636796,0.002377598
desat,noclamp,inv,0.051036492,0.16590905,0.19165006,-0.046784036,0.077958815,0.13675319
desat,noclamp,inv,0.16923636,0.35294557,0.24616084,0.017277695,0.29183108,0.046779245
desat,noclamp,inv,0.7757346,0.4301924,0.28803453,1.500016,0.20000221,-0.09999999
desat,noclamp,inv,0.54800594,1.274632,1.0880013,-0.29999995,1.9999826,0.79998046
desat,noclamp,inv,0.7547847,0.8711682,1.0851191,0.9000075,0.9000179,1.0999823
extreme,asc,fwd,0.0,0.0,0.0,0.12005605,0.12005605,0.12005605
extreme,asc,fwd,0.05,0.05,0.05,0.14348546,0.14348546,0.14348546
extreme,asc,fwd,2.0,2.0,2.0,0.742531,0.742531,0.742531
extreme,asc,fwd,0.05,0.0,0.0,0.13807034,0.13807034,0.13807034
extreme,asc,fwd,0.0,0.0,0.05,0.12547116,0.12547116,0.12547116
extreme,asc,fwd,0.0,0.5,0.0,0.12184405,0.12184405,0.12184405
extreme,asc,fwd,1.0,0.0,0.0,0.21621147,0.21621147,0.21621147
extreme,asc,fwd,0.0,0.0,1.0,0.18864688,0.18864688,0.18864688
extreme,asc,fwd,0.0,10.0,0.0,0.83527076,0.83527076,0.83527076
extreme,asc,fwd,28.41841,24.344778,37.99694,1.0,1.0,1.0
extreme,asc,fwd,19.77978,45.30961,11.772767,1.0,1.0,1.0
extreme,asc,fwd,0.8164644,5.4543414,1.3180557,1.0,1.0,1.0
extreme,asc,fwd,45.84187,9.971024,82.71785,1.0,1.0,1.0
extreme,asc,fwd,0.0017597021,0.0021876774,0.0008382342,0.12082794,0.12082794,0.12082794
extreme,asc,fwd,3.1801033,1.6400017,2.1537457,0.55973005,0.55973005,0.55973005
extreme,asc,fwd,0.022847129,0.20706503,0.14117625,0.14389898,0.14389898,0.14389898
extreme,asc,fwd,0.0016861375,0.0008640829,0.002377121,0.120966256,0.120966256,0.120966256
extreme,asc,fwd,-0.04678405,0.07795956,0.13675798,0.11501564,0.11501564,0.11501564
extreme,asc,fwd,0.017277788,0.2918255,0.04677635,0.1316455,0.1316455,0.1316455
extreme,asc,fwd,1.5,0.2,-0.1,0.21260148,0.21260148,0.21260148
extreme,asc,fwd,-0.3,2.0,0.8,0.5299295,0.5299295,0.5299295
extreme,asc,fwd,0.9,0.9,1.1,0.32950324,0.32950324,0.32950324
extreme,asc,inv,0.12005605,0.12005605,0.12005605,0.0,1.0,0.046703517
extreme,asc,inv,0.14348546,0.14348546,0.14348546,0.0,1.0,0.06232392
extreme,asc,inv,0.742531,0.742531,0.742531,0.12567091,1.0,0.46168196
extreme,asc,inv,0.13807034,0.13807034,0.13807034,0.0,1.0,0.05871303
extreme,asc,inv,0.12547116,0.12547116,0.12547116,0.0,1.0,0.050314814
extreme,asc,inv,0.12184405,0.12184405,0.12184405,0.0,1.0,0.04789552
extreme,asc,inv,0.21621147,0.21621147,0.21621147,0.0,1.0,0.11080801
extreme,asc,inv,0.18864688,0.18864688,0.18864688,0.0,1.0,0.092429966
extreme,asc,inv,0.83527076,0.83527076,0.83527076,0.19884318,1.0,0.523517
extreme,asc,inv,1.0,1.0,1.0,0.35001025,1.0,0.6333411
extreme,asc,inv,1.0,1.0,1.0,0.35001025,1.0,0.6333411
extreme,asc,inv,1.0,1.0,1.0,0.35001025,1.0,0.6333411
extreme,asc,inv,1.0,1.0,1.0,0.35001025,1.0,0.6333411
extreme,asc,inv,0.12082794,0.12082794,0.12082794,0.0,1.0,0.04721759
extreme,asc,inv,0.55973005,0.55973005,0.55973005,0.0066486597,1.0,0.339819
extreme,asc,inv,0.14389898,0.14389898,0.14389898,0.0,1.0,0.06259965
extreme,asc,inv,0.120966256,0.120966256,0.120966256,0.0,1.0,0.047310274
extreme,asc,inv,0.11501564,0.11501564,0.11501564,0.0,1.0,0.043344468
extreme,asc,inv,0.1316455,0.1316455,0.1316455,0.0,1.0,0.054429393
extreme,asc,inv,0.21260148,0.21260148,0.21260148,0.0,1.0,0.10840313
extreme,asc,inv,0.5299295,0.5299295,0.5299295,0.0,1.0,0.31994912
extreme,asc,inv,0.32950324,0.32950324,0.32950324,0.0,1.0,0.1863366
extreme,noclamp,fwd,0.0,0.0,0.0,-0.022983957,-0.022983957,-0.022983957
extreme,noclamp,fwd,0.05,0.05,0.05,0.01832547,0.01832547,0.01832547
extreme,noclamp,fwd,2.0,2.0,2.0,1.1187907,1.1187907,1.1187907
extreme,noclamp,fwd,0.05,0.0,0.0,-0.004969652,-0.004969652,-0.004969652
extreme,noclamp,fwd,0.0,0.0,0.05,-0.017568842,-0.017568842,-0.017568842
extreme,noclamp,fwd,0.0,0.5,0.0,0.12184405,0.12184405,0.12184405
extreme,noclamp,fwd,1.0,0.0,0.0,0.18299347,0.18299347,0.18299347
extreme,noclamp,fwd,0.0,0.0,1.0,0.085315175,0.085315175,0.085315175
extreme,noclamp,fwd,0.0,10.0,0.0,16.598503,16.598503,16.598503
extreme,noclamp,fwd,28.41841,24.344778,37.99694,108.239426,108.239426,108.239426
extreme,noclamp,fwd,19.77978,45.30961,11.772767,363.2335,363.2335,363.2335
extreme,noclamp,fwd,0.8164644,5.4543414,1.3180557,5.009685,5.009685,5.009685
extreme,noclamp,fwd,45.84187,9.971024,82.71785,27.380024,27.380024,27.380024
extreme,noclamp,fwd,0.0017597021,0.0021876774,0.0008382342,-0.021429744,-0.021429744,-0.021429744
extreme,noclamp,fwd,3.1801033,1.6400017,2.1537457,1.0604565,1.0604565,1.0604565
extreme,noclamp,fwd,0.022847129,0.20706503,0.14117625,0.07490543,0.07490543,0.07490543
extreme,noclamp,fwd,0.0016861375,0.0008640829,0.002377121,-0.021764755,-0.021764755,-0.021764755
extreme,noclamp,fwd,-0.04678405,0.07795956,0.13675798,-0.0001460202,-0.0001460202,-0.0001460202
extreme,noclamp,fwd,0.017277788,0.2918255,0.04677635,0.0929623,0.0929623,0.0929623
extreme,noclamp,fwd,1.5,0.2,-0.1,0.3074689,0.3074689,0.3074689
extreme,noclamp,fwd,-0.3,2.0,0.8,0.48419967,0.48419967,0.48419967
extreme,noclamp,fwd,0.9,0.9,1.1,0.47552684,0.47552684,0.47552684
extreme,noclamp,inv,-0.022983957,-0.022983957,-0.022983957,-0.16149199,0.3540321,-0.048655972
extreme,noclamp,inv,0.01832547,0.01832547,0.01832547,-0.1498321,0.67074335,-0.021116268
extreme,noclamp,inv,1.1187907,1.1187907,1.1187907,0.47584543,2.5154507,0.712525
extreme,noclamp,inv,-0.004969652,-0.004969652,-0.004969652,-0.15248483,0.3900607,-0.036646437
extreme,noclamp,inv,-0.017568842,-0.017568842,-0.017568842,-0.15878442,0.36486232,-0.045045894
extreme,noclamp,inv,0.12184405,0.12184405,0.12184405,-0.14257711,1.0981207,0.04789552
extreme,noclamp,inv,0.18299347,0.18299347,0.18299347,-0.13325703,1.2555511,0.08866107
extreme,noclamp,inv,0.085315175,0.085315175,0.085315175,-0.1463606,0.98417795,0.023543883
extreme,noclamp,inv,16.598503,16.598503,16.598503,137.60303,8.548223,11.032242
extreme,noclamp,inv,108.239426,108.239426,108.239426,5857.739,21.207687,72.126305
extreme,noclamp,inv,363.2335,363.2335,363.2335,65967.28,38.517162,242.11858
extreme,noclamp,inv,5.009685,5.009685,5.009685,12.398893,4.8765016,3.3065257
extreme,noclamp,inv,27.380024,27.380024,27.380024,374.68826,10.865248,18.220165
extreme,noclamp,inv,-0.021429744,-0.021429744,-0.021429744,-0.16071488,0.3571405,-0.04761983
extreme,noclamp,inv,1.0604565,1.0604565,1.0604565,0.4122741,2.4595578,0.6736299
extreme,noclamp,inv,0.07490543,0.07490543,0.07490543,-0.14719461,0.94737554,0.016603626
extreme,noclamp,inv,-0.021764755,-0.021764755,-0.021764755,-0.16088238,0.3564705,-0.04784317
extreme,noclamp,inv,-0.0001460202,-0.0001460202,-0.0001460202,-0.15007302,0.39970797,-0.03343068
extreme,noclamp,inv,0.0929623,0.0929623,0.0929623,-0.14567909,1.0097934,0.028640889
extreme,noclamp,inv,0.3074689,0.3074689,0.3074689,-0.10273073,1.509001,0.17164825
extreme,noclamp,inv,0.48419967,0.48419967,0.48419967,-0.032778367,1.791679,0.28946227
extreme,noclamp,inv,0.47552684,0.47552684,0.47552684,-0.036939852,1.7791603,0.2836811
